CodigoEmpresa;Anio;Mes;EmpleadosTotal;AltasDelMes;TotalBrutoTodos;TotalBrutoAltas
48024;2023;7;10;0;19984.96;0
23868;2023;7;2;0;3766.67;0
48605;2023;7;11;1;15748.71;1075.58
42851;2023;7;2;0;11092.75;0
46788;2023;7;4;0;443.41;0
44167;2023;7;3;0;11870.83;0
42460;2023;7;3;0;10643.23;0
44271;2023;7;8;0;41589.04;0
37279;2023;7;3;0;8386.74;0
47182;2023;7;1;0;762.22;0
38600;2023;7;1;0;5508.23;0
38706;2023;7;5;1;22829.38;6525
48894;2023;7;3;0;9419.34;0
3721;2023;7;4;0;38377.6;0
46615;2023;7;6;0;7662.9;0
48483;2023;7;8;0;18297.07;0
39902;2023;7;13;0;97292.25;0
38210;2023;7;1;0;5700;0
49005;2023;7;7;0;0;0
46294;2023;7;1;0;2354.14;0
34268;2023;7;2;0;6200;0
47825;2023;7;1;0;8383.33;0
48687;2023;7;3;0;0;0
45591;2023;7;1;0;3800;0
32179;2023;7;3;0;24852.07;0
33812;2023;7;1;0;5544.48;0
43405;2023;7;2;0;8916.67;0
14438;2023;7;1;0;845.52;0
43660;2023;7;8;0;79687.17;0
38335;2023;7;1;0;3333.33;0
26550;2023;7;1;0;9725.7;0
36217;2023;7;1;0;1766.29;0
25861;2023;7;3;1;4985.76;705.89
48302;2023;7;1;0;7660;0
37364;2023;7;1;0;6233.23;0
35130;2023;7;1;0;3916.66;0
46521;2023;7;1;0;3928.57;0
37592;2023;7;2;0;35291.66;0
25716;2023;7;1;0;2469.27;0
47514;2023;7;9;0;17215.2;0
40687;2023;7;1;0;10599.48;0
49004;2023;7;9;0;15690.91;0
47383;2023;7;1;0;27600;0
38406;2023;7;2;0;5035.72;0
42022;2023;7;50;0;282103.15;0
30999;2023;7;2;0;6593.04;0
36051;2023;7;1;0;15401.1;0
47297;2023;7;2;0;4100;0
38114;2023;7;7;0;12951.61;0
45096;2023;7;12;0;33766.67;0
37666;2023;7;2;0;25000.01;0
28644;2023;7;4;0;9951.79;0
47673;2023;7;6;1;9628.79;59.08
48686;2023;7;2;0;5043.41;0
21515;2023;7;1;0;3275;0
41649;2023;7;1;0;0;0
48910;2023;7;13;0;17600;0
41200;2023;7;4;0;8544.34;0
47535;2023;7;6;0;9857.54;0
47532;2023;7;8;0;13996.15;0
41941;2023;7;16;0;100860.99;0
37254;2023;7;57;0;335194.39;0
42830;2023;7;1;0;5853.42;0
32424;2023;7;6;0;17384.07;0
39431;2023;7;1;0;1317.25;0
47677;2023;7;6;0;8637.98;0
47676;2023;7;5;0;10846.11;0
48183;2023;7;14;0;21915.46;0
47757;2023;7;7;0;15163.61;0
46616;2023;7;7;0;16757.79;0
31584;2023;7;2;0;5071.43;0
44721;2023;7;2;0;11433.33;0
48208;2023;7;1;0;9583.33;0
39144;2023;7;2;0;3170.83;0
47315;2023;7;3;0;30910.63;0
47181;2023;7;5;0;20255.01;0
47674;2023;7;6;0;13733.57;0
42736;2023;7;2;0;5899.26;0
40254;2023;7;1;0;2964;0
47530;2023;7;3;0;5646.03;0
42508;2023;7;1;0;8000;0
38460;2023;7;2;0;22341.81;0
47742;2023;7;7;0;66093.27;0
46611;2023;7;4;0;16577;0
47152;2023;7;2;0;2377.55;0
43149;2023;7;2;0;5008.08;0
40767;2023;7;1;0;2083.33;0
47162;2023;7;2;0;27600;0
36909;2023;7;15;0;129173.05;0
45744;2023;7;2;0;13321.33;0
47937;2023;7;7;0;13593.53;0
37902;2023;7;1;0;2702.97;0
44863;2023;7;2;0;1286.25;0
47000;2023;7;5;0;10943.18;0
42880;2023;7;3;0;20416.67;0
46661;2023;7;2;0;13939.48;0
99999;2023;7;1;0;0;0
36102;2023;7;2;0;18584.67;0
48210;2023;7;9;0;18804.41;0
23095;2023;7;18;1;69491.2;2800
46783;2023;7;1;0;8574.99;0
99778;2023;7;1;0;1313.03;0
46022;2023;7;6;0;58341.61;0
1;2023;7;1;0;17857.76;0
44075;2023;7;1;0;18223.02;0
47686;2023;7;12;0;23911.08;0
37475;2023;7;1;0;2794.61;0
47515;2023;7;5;0;7358.85;0
37157;2023;7;3;0;17347.08;0
46207;2023;7;8;2;39994.47;4211.11
42335;2023;7;3;0;53634.51;0
46442;2023;7;1;0;7523.26;0
47176;2023;7;6;0;16458.05;0
38787;2023;7;11;1;28153.74;61.9
47558;2023;7;1;0;1260;0
43367;2023;7;1;0;34993.07;0
6716;2023;7;1;0;1724.14;0
